,img_id,file_name,hour,minute,bbox_det,new_file_name,image_url,base_image_url
35,36,A Nightmare on Elm Street 11.49 p.m.png,11,49,"[351.89, 62.43, 663.05, 934.58]",A_Nightmare_on_Elm_Street_11.49_p.m.png,https://static.wikia.nocookie.net/theclock/images/7/70/A_Nightmare_on_Elm_Street_11.49_p.m.png/revision/latest/scale-to-width-down/185?cb=20200731113358,https://static.wikia.nocookie.net/theclock/images/7/70/A_Nightmare_on_Elm_Street_11.49_p.m.png
36,37,A Nightmare on Elm Street 12.44 a.m.png,12,44,"[1152.73, 442.35, 75.35, 93.0]",A_Nightmare_on_Elm_Street_12.44_a.m.png,https://static.wikia.nocookie.net/theclock/images/b/b3/A_Nightmare_on_Elm_Street_12.44_a.m.png/revision/latest/scale-to-width-down/185?cb=20200731113345,https://static.wikia.nocookie.net/theclock/images/b/b3/A_Nightmare_on_Elm_Street_12.44_a.m.png
37,38,A Ravishing Idiot 1.58 p.m.png,1,58,"[543.95, 228.69, 625.08, 570.49]",A_Ravishing_Idiot_1.58_p.m.png,https://static.wikia.nocookie.net/theclock/images/6/60/A_Ravishing_Idiot_1.58_p.m.png/revision/latest/scale-to-width-down/185?cb=20210402055103,https://static.wikia.nocookie.net/theclock/images/6/60/A_Ravishing_Idiot_1.58_p.m.png
38,39,A Serious Man 5.10 a.m.png,5,10,"[871.78, 227.71, 162.59, 167.79]",A_Serious_Man_5.10_a.m.png,https://static.wikia.nocookie.net/theclock/images/3/35/A_Serious_Man_5.10_a.m.png/revision/latest/scale-to-width-down/185?cb=20210119102437,https://static.wikia.nocookie.net/theclock/images/3/35/A_Serious_Man_5.10_a.m.png
39,40,A Short Film About Love 2.21 a.m.png,2,21,"[697.55, 318.12, 206.87, 191.79]",A_Short_Film_About_Love_2.21_a.m.png,https://static.wikia.nocookie.net/theclock/images/8/82/A_Short_Film_About_Love_2.21_a.m.png/revision/latest/scale-to-width-down/185?cb=20210422060802,https://static.wikia.nocookie.net/theclock/images/8/82/A_Short_Film_About_Love_2.21_a.m.png
40,41,A Short Film About Love 8.38 p.m.png,8,38,"[934.33, 357.88, 650.67, 652.46]",A_Short_Film_About_Love_8.38_p.m.png,https://static.wikia.nocookie.net/theclock/images/4/49/A_Short_Film_About_Love_8.38_p.m.png/revision/latest/scale-to-width-down/185?cb=20210422060812,https://static.wikia.nocookie.net/theclock/images/4/49/A_Short_Film_About_Love_8.38_p.m.png
41,42,A Short Film About Love 9.08 p.m.png,9,8,"[571.4, 216.79, 205.39, 190.02]",A_Short_Film_About_Love_9.08_p.m.png,https://static.wikia.nocookie.net/theclock/images/4/46/A_Short_Film_About_Love_9.08_p.m.png/revision/latest/scale-to-width-down/185?cb=20210422060823,https://static.wikia.nocookie.net/theclock/images/4/46/A_Short_Film_About_Love_9.08_p.m.png
42,43,A Shot in the Dark 3.00 a.m.png,3,0,"[825.34, 407.77, 176.31, 222.34]",A_Shot_in_the_Dark_3.00_a.m.png,https://static.wikia.nocookie.net/theclock/images/0/0b/A_Shot_in_the_Dark_3.00_a.m.png/revision/latest/scale-to-width-down/185?cb=20200815194717,https://static.wikia.nocookie.net/theclock/images/0/0b/A_Shot_in_the_Dark_3.00_a.m.png
43,44,A Shot in the Dark 7.53 p.m. 1.png,7,53,"[742.92, 124.11, 573.35, 582.97]",A_Shot_in_the_Dark_7.53_p.m._1.png,https://static.wikia.nocookie.net/theclock/images/d/d0/A_Shot_in_the_Dark_7.53_p.m._1.png/revision/latest/scale-to-width-down/185?cb=20200815194749,https://static.wikia.nocookie.net/theclock/images/d/d0/A_Shot_in_the_Dark_7.53_p.m._1.png
44,45,A Single Man 2.53 a.m.png,2,53,"[790.87, 26.09, 654.23, 661.06]",A_Single_Man_2.53_a.m.png,https://static.wikia.nocookie.net/theclock/images/f/f7/A_Single_Man_2.53_a.m.png/revision/latest/scale-to-width-down/185?cb=20200728083053,https://static.wikia.nocookie.net/theclock/images/f/f7/A_Single_Man_2.53_a.m.png
45,46,A Single Man 7.22 a.m.png,7,22,"[891.69, 11.16, 591.26, 649.7]",A_Single_Man_7.22_a.m.png,https://static.wikia.nocookie.net/theclock/images/9/9b/A_Single_Man_7.22_a.m.png/revision/latest/scale-to-width-down/185?cb=20200728083102,https://static.wikia.nocookie.net/theclock/images/9/9b/A_Single_Man_7.22_a.m.png
46,47,A Single Man 8.04 a.m.png,8,4,"[779.15, 74.14, 674.95, 423.24]",A_Single_Man_8.04_a.m.png,https://static.wikia.nocookie.net/theclock/images/c/c7/A_Single_Man_8.04_a.m.png/revision/latest/scale-to-width-down/185?cb=20200728083106,https://static.wikia.nocookie.net/theclock/images/c/c7/A_Single_Man_8.04_a.m.png
47,48,A Single Man 10.29 a.m.png,10,29,"[526.38, 4.38, 82.26, 171.15]",A_Single_Man_10.29_a.m.png,https://static.wikia.nocookie.net/theclock/images/9/94/A_Single_Man_10.29_a.m.png/revision/latest/scale-to-width-down/185?cb=20200728083111,https://static.wikia.nocookie.net/theclock/images/9/94/A_Single_Man_10.29_a.m.png
48,49,A Single Man 10.36 a.m.png,10,36,"[923.92, 46.1, 46.58, 47.79]",A_Single_Man_10.36_a.m.png,https://static.wikia.nocookie.net/theclock/images/4/46/A_Single_Man_10.36_a.m.png/revision/latest/scale-to-width-down/185?cb=20200728083118,https://static.wikia.nocookie.net/theclock/images/4/46/A_Single_Man_10.36_a.m.png
49,50,A Touch of Magic 3.12 a.m.png,3,12,"[357.37, 34.95, 527.73, 610.38]",A_Touch_of_Magic_3.12_a.m.png,https://static.wikia.nocookie.net/theclock/images/2/2d/A_Touch_of_Magic_3.12_a.m.png/revision/latest/scale-to-width-down/185?cb=20200927063412,https://static.wikia.nocookie.net/theclock/images/2/2d/A_Touch_of_Magic_3.12_a.m.png
50,51,About Schmidt 4.59 p.m.png,4,59,"[580.06, 188.6, 702.0, 693.12]",About_Schmidt_4.59_p.m.png,https://static.wikia.nocookie.net/theclock/images/c/ce/About_Schmidt_4.59_p.m.png/revision/latest/scale-to-width-down/185?cb=20200804002721,https://static.wikia.nocookie.net/theclock/images/c/ce/About_Schmidt_4.59_p.m.png
51,52,About Schmidt 5.00 p.m.png,5,0,"[1624.58, 97.24, 125.87, 122.13]",About_Schmidt_5.00_p.m.png,https://static.wikia.nocookie.net/theclock/images/0/0b/About_Schmidt_5.00_p.m.png/revision/latest/scale-to-width-down/185?cb=20200804002730,https://static.wikia.nocookie.net/theclock/images/0/0b/About_Schmidt_5.00_p.m.png
52,53,About Schmidt 9.53 a.m.png,9,53,"[1150.24, 430.59, 300.77, 290.85]",About_Schmidt_9.53_a.m.png,https://static.wikia.nocookie.net/theclock/images/d/d9/About_Schmidt_9.53_a.m.png/revision/latest/scale-to-width-down/185?cb=20200804002714,https://static.wikia.nocookie.net/theclock/images/d/d9/About_Schmidt_9.53_a.m.png
53,54,Ace in the Hole 10.28 p.m.png,10,28,"[1012.77, 433.18, 90.33, 94.56]",Ace_in_the_Hole_10.28_p.m.png,https://static.wikia.nocookie.net/theclock/images/2/2f/Ace_in_the_Hole_10.28_p.m.png/revision/latest/scale-to-width-down/185?cb=20210421040407,https://static.wikia.nocookie.net/theclock/images/2/2f/Ace_in_the_Hole_10.28_p.m.png
54,55,Adam's Rib 7.40 p.m.png,7,40,"[1308.41, 283.48, 89.81, 110.38]",Adam%27s_Rib_7.40_p.m.png,https://static.wikia.nocookie.net/theclock/images/e/ed/Adam%27s_Rib_7.40_p.m.png/revision/latest/scale-to-width-down/185?cb=20200816064010,https://static.wikia.nocookie.net/theclock/images/e/ed/Adam%27s_Rib_7.40_p.m.png
55,56,Adam's Rib 10.35 p.m.png,10,35,"[1191.81, 91.13, 137.62, 170.37]",Adam%27s_Rib_10.35_p.m.png,https://static.wikia.nocookie.net/theclock/images/b/bd/Adam%27s_Rib_10.35_p.m.png/revision/latest/scale-to-width-down/185?cb=20200816064015,https://static.wikia.nocookie.net/theclock/images/b/bd/Adam%27s_Rib_10.35_p.m.png
56,57,Addams Family Values 5.30 p.m. 1.png,5,30,"[869.88, 468.31, 274.91, 288.2]",Addams_Family_Values_5.30_p.m._1.png,https://static.wikia.nocookie.net/theclock/images/6/67/Addams_Family_Values_5.30_p.m._1.png/revision/latest/scale-to-width-down/185?cb=20210606082818,https://static.wikia.nocookie.net/theclock/images/6/67/Addams_Family_Values_5.30_p.m._1.png
57,58,Addams Family Values 5.30 p.m. 2.png,5,30,"[750.77, 395.65, 312.04, 323.47]",Addams_Family_Values_5.30_p.m._2.png,https://static.wikia.nocookie.net/theclock/images/8/89/Addams_Family_Values_5.30_p.m._2.png/revision/latest/scale-to-width-down/185?cb=20210606082746,https://static.wikia.nocookie.net/theclock/images/8/89/Addams_Family_Values_5.30_p.m._2.png
58,59,Adventures in Babysitting 10.39 p.m.png,10,39,"[573.29, 81.67, 755.01, 759.89]",Adventures_in_Babysitting_10.39_p.m.png,https://static.wikia.nocookie.net/theclock/images/8/81/Adventures_in_Babysitting_10.39_p.m.png/revision/latest/scale-to-width-down/185?cb=20200816154044,https://static.wikia.nocookie.net/theclock/images/8/81/Adventures_in_Babysitting_10.39_p.m.png
59,60,Adventures in Babysitting 11.42 p.m.png,11,42,"[598.16, 133.17, 660.21, 658.78]",Adventures_in_Babysitting_11.42_p.m.png,https://static.wikia.nocookie.net/theclock/images/b/b5/Adventures_in_Babysitting_11.42_p.m.png/revision/latest/scale-to-width-down/185?cb=20200816154053,https://static.wikia.nocookie.net/theclock/images/b/b5/Adventures_in_Babysitting_11.42_p.m.png
60,61,After Hours 1.40 a.m.png,1,40,"[419.91, 4.83, 1076.6, 927.18]",After_Hours_1.40_a.m.png,https://static.wikia.nocookie.net/theclock/images/d/d9/After_Hours_1.40_a.m.png/revision/latest/scale-to-width-down/185?cb=20200731203056,https://static.wikia.nocookie.net/theclock/images/d/d9/After_Hours_1.40_a.m.png
61,62,After Hours 2.14 a.m.png,2,14,"[834.56, 348.72, 351.41, 252.68]",After_Hours_2.14_a.m.png,https://static.wikia.nocookie.net/theclock/images/9/9c/After_Hours_2.14_a.m.png/revision/latest/scale-to-width-down/185?cb=20200731203101,https://static.wikia.nocookie.net/theclock/images/9/9c/After_Hours_2.14_a.m.png
62,63,After Hours 4.10 a.m.png,4,10,"[652.48, 62.51, 159.85, 160.35]",After_Hours_4.10_a.m.png,https://static.wikia.nocookie.net/theclock/images/1/14/After_Hours_4.10_a.m.png/revision/latest/scale-to-width-down/185?cb=20200731203112,https://static.wikia.nocookie.net/theclock/images/1/14/After_Hours_4.10_a.m.png
63,64,Age of Consent 8.10 p.m. 2.png,8,10,"[850.71, 385.95, 255.03, 256.98]",Age_of_Consent_8.10_p.m._2.png,https://static.wikia.nocookie.net/theclock/images/3/38/Age_of_Consent_8.10_p.m._2.png/revision/latest/scale-to-width-down/185?cb=20210107094053,https://static.wikia.nocookie.net/theclock/images/3/38/Age_of_Consent_8.10_p.m._2.png
64,65,Alfie Darling 4.55 p.m.png,4,55,"[1538.08, 88.13, 89.4, 86.88]",Alfie_Darling_4.55_p.m.png,https://static.wikia.nocookie.net/theclock/images/b/bd/Alfie_Darling_4.55_p.m.png/revision/latest/scale-to-width-down/185?cb=20200825034739,https://static.wikia.nocookie.net/theclock/images/b/bd/Alfie_Darling_4.55_p.m.png
65,66,American Madness 12.09 p.m.png,12,9,"[90.36, 116.68, 910.76, 904.91]",American_Madness_12.09_p.m.png,https://static.wikia.nocookie.net/theclock/images/4/47/American_Madness_12.09_p.m.png/revision/latest/scale-to-width-down/185?cb=20210407210003,https://static.wikia.nocookie.net/theclock/images/4/47/American_Madness_12.09_p.m.png
66,67,American Splendor 5.55 a.m.png,5,55,"[186.81, 584.71, 141.58, 152.09]",American_Splendor_5.55_a.m.png,https://static.wikia.nocookie.net/theclock/images/3/3f/American_Splendor_5.55_a.m.png/revision/latest/scale-to-width-down/185?cb=20210326154917,https://static.wikia.nocookie.net/theclock/images/3/3f/American_Splendor_5.55_a.m.png
67,68,Amélie 4.00 a.m.png,4,0,"[927.7, 42.43, 717.78, 719.68]",Am%C3%A9lie_4.00_a.m.png,https://static.wikia.nocookie.net/theclock/images/d/d0/Am%C3%A9lie_4.00_a.m.png/revision/latest/scale-to-width-down/185?cb=20191102230621,https://static.wikia.nocookie.net/theclock/images/d/d0/Am%C3%A9lie_4.00_a.m.png
68,69,Amélie 4.10 p.m.png,4,10,"[736.28, 102.04, 594.6, 685.1]",Am%C3%A9lie_4.10_p.m.png,https://static.wikia.nocookie.net/theclock/images/b/ba/Am%C3%A9lie_4.10_p.m.png/revision/latest/scale-to-width-down/185?cb=20191102230819,https://static.wikia.nocookie.net/theclock/images/b/ba/Am%C3%A9lie_4.10_p.m.png
69,70,Amélie 5.00 p.m.png,5,0,"[798.91, 331.63, 261.12, 221.74]",Am%C3%A9lie_5.00_p.m.png,https://static.wikia.nocookie.net/theclock/images/4/47/Am%C3%A9lie_5.00_p.m.png/revision/latest/scale-to-width-down/185?cb=20191102230841,https://static.wikia.nocookie.net/theclock/images/4/47/Am%C3%A9lie_5.00_p.m.png
70,71,Amélie 7.52 a.m.png,7,52,"[1361.47, 381.6, 392.2, 354.12]",Am%C3%A9lie_7.52_a.m.png,https://static.wikia.nocookie.net/theclock/images/7/79/Am%C3%A9lie_7.52_a.m.png/revision/latest/scale-to-width-down/185?cb=20191102230648,https://static.wikia.nocookie.net/theclock/images/7/79/Am%C3%A9lie_7.52_a.m.png
71,72,Amélie 7.54 a.m.png,7,54,"[724.66, 109.62, 107.63, 125.87]",Am%C3%A9lie_7.54_a.m.png,https://static.wikia.nocookie.net/theclock/images/d/d3/Am%C3%A9lie_7.54_a.m.png/revision/latest/scale-to-width-down/185?cb=20191102230708,https://static.wikia.nocookie.net/theclock/images/d/d3/Am%C3%A9lie_7.54_a.m.png
